Nome do Arquivo,Classe,Hu 1,Hu 2,Hu 3,Hu 4,Hu 5,Hu 6,Hu 7
ROI_0_0,Paciente Saudável,0.0022190223847106576,1.1094170169460745e-09,1.1759486948797568e-11,2.7682846841323723e-12,-7.088976917582078e-24,-5.679391296817817e-17,-1.4114450958367026e-23
ROI_0_1,Paciente Saudável,0.0019185000632706308,9.120635399663265e-10,5.4076273781637953e-14,1.3972834037922942e-11,-1.1038238498237903e-23,3.9236976784155825e-17,-5.067590074124726e-24
ROI_0_2,Paciente Saudável,0.0020673420020386087,2.4872413203115377e-10,2.965368619504645e-11,4.615198305000378e-12,5.122390361146655e-23,1.592572898144692e-17,1.7064204059739364e-23
ROI_0_3,Paciente Saudável,0.0021187347419793457,1.4521242301966884e-09,1.929668358885476e-11,4.743920493107929e-12,-8.959218922201645e-24,1.7805450992955603e-16,-4.449565825630328e-23
ROI_0_4,Paciente Saudável,0.002039494826139278,2.868554417859296e-09,6.440873796725674e-12,3.486516328227463e-12,1.606077082954214e-23,-1.8113370863442896e-16,-3.876179902886406e-24
ROI_0_5,Paciente Saudável,0.002264958370285621,4.5649955468433035e-09,1.3828055460452788e-11,6.688494526557724e-12,5.670069909474061e-23,3.271345984549701e-16,-3.03744821722369e-23
ROI_0_6,Paciente Saudável,0.002107803657284189,5.452853200772286e-10,2.697399146825676e-12,6.547813745253904e-12,-4.4170665522784584e-24,-8.693709921840397e-17,2.716119668709357e-23
ROI_0_7,Paciente Saudável,0.0021440692790101207,2.648149910108003e-10,9.802239314911013e-12,6.219489777116578e-12,4.0047140716849576e-23,-4.2906726231212995e-17,2.746770961151049e-23
ROI_0_8,Paciente Saudável,0.0021125625170989766,2.467181323657274e-10,1.0362361067674389e-11,6.466698331044839e-12,2.861845821345831e-23,-1.0933960766366532e-17,-4.4533488296773773e-23
ROI_0_9,Paciente Saudável,0.0022227588195243096,4.347961076746243e-10,1.1179215837398265e-11,6.1845979686945175e-12,1.9486041829998221e-23,-1.2800597692123747e-16,-4.7589993805330654e-23
